work_context,role_seat,region,design_tools,code_in_workflow,anticipated_investment,vibe_coding_ratio,built_own_tool,ai_trust,blockers,workflow_shift,role_outlook,workflow_satisfaction
Mid-size in-house (101–999),Designer (Individual contributor),North America,"Make, Figma Make, MagicPath, Figma, ChatGPT, Jitter, Jira, Slack, Framer",I use AI or no-code to generate code,"Design systems & tokens, AI-generated coding, Agent workflows & automations",Occasionally,"No, and I don't plan to",Exploration and brainstorming only,"Too many tools, unclear which to commit, AI output quality isn't reliable enough, Security or compliance policy","Added new tools, AI included",Honestly not sure,10.0
Independent or freelance,Designer (Individual contributor),Western Europe,"Claude Cowork, Figma, Claude, Notion, Google Meet, Slack, Microsoft Teams, Webflow",I use AI or no-code to generate code,"No-code tools (not AI), AI-generated coding, Video, motion, & 3D",Nearly all of it,"Yes, once or twice",Ships with minor tweaks,"Time to learn new tools, Security or compliance policy, Too many tools, unclear which to commit to",AI is now central — major shift,About the same,7.0
"Enterprise in-house (1,000+)",Lead or principal,North America,"Claude Cowork, Claude Code, Figma, Claude, Linear, Google Slides, Slack, Google Meet, FigJam","I use AI or no-code to generate code, I write production code","AI-generated coding, Agent workflows & automations",Most of it,"Yes, once or twice",Working output I review before shipping,Other: my own time,AI is now central — major shift,About the same,7.0
"Enterprise in-house (1,000+)",Designer (Individual contributor),North America,Figma,I use AI or no-code to generate code,"AI-generated coding, Canvas design tools, Video, motion, & 3D",Occasionally,"Yes, once or twice",Exploration and brainstorming only,Other: Manager wants me to help him with his slide presentation.,"Added new tools, AI included",About the same,7.0
Agency or consulting,Design manager or director,North America,"Midjourney, Figma, ChatGPT, Gemini, After Effects, Google Slides, PowerPoint, Slack, Zoom, Microsoft Teams, Canva, Google Meet",Code isn't part of my workflow,"Agent workflows & automations, Design systems & tokens, Image generation",None,"No, but I want to",Working output I review before shipping,"Too many tools, unclear which to commit, Time to learn new tools, AI output quality isn't reliable enough","Still in flux, changing often",About the same,6.0
Agency or consulting,Designer (Individual contributor),North America,"Google Firebase Studio, Nanobanana, Claude",I use AI or no-code to generate code,"Video, motion, & 3D, Simplifying my stack, Design systems & tokens",Occasionally,"Yes, I build personal tools regularly",First drafts I heavily edit,"Time to learn new tools, AI output quality isn't reliable enough","Added new tools, AI included","Less secure, AI is changing what's expected of me",7.0
Agency or consulting,Lead or principal,Australia & New Zealand,"Lovable, Figma Make, Recraft, Figma, Claude, Notion, Jira, Slack, Microsoft Teams, Miro",Code isn't part of my workflow,"Canvas design tools, Agent workflows & automations, Design systems & tokens",None,"Yes, once or twice",First drafts I heavily edit,"Security or compliance policy, AI output quality isn't reliable enough, Too many tools, unclear which to commit","Added new tools, AI included",About the same,7.0
Agency or consulting,Designer (Individual contributor),Western Europe,"Claude Cowork, Cursor, Figma Make, Nanobanana, Figma, Claude, ChatGPT, Notion, Microsoft Teams, Maze, FigJam, Claude Code",I use AI or no-code to generate code,"AI-generated coding, Design systems & tokens, Agent workflows & automations",Occasionally,"Yes, once or twice",First drafts I heavily edit,"Budget or procurement friction, Security or compliance policy, Time to learn new tools","Still in flux, changing often",Honestly not sure,6.0
Agency or consulting,Design engineer,South Asia,"Claude Cowork, Figma Make, Figma, FigJam, Miro, Google Antigravity, Claude Code, n8n, Lovable","I use AI or no-code to generate code, Code isn't part of my workflow, I hand-code prototypes but not production","AI-generated coding, Agent workflows & automations, Design systems & tokens",None,"Yes, once or twice",Exploration and brainstorming only,"Budget or procurement friction, Time to learn new tools, AI output quality isn't reliable enough",AI is now central — major shift,"More valuable, my skills matter more than before",8.0
Independent or freelance,Designer (Individual contributor),South Asia,"Figma, FigJam, Notion",Code isn't part of my workflow,"Design systems & tokens, Canvas design tools, Video, motion, & 3D",None,"No, but I want to",Exploration and brainstorming only,"AI output quality isn't reliable enough, Other:","Still in flux, changing often",Honestly not sure,3.0
"Student, educator, or between roles",Designer (Individual contributor),North America,"Google Slides, Discord, Zoom, Miro",Code isn't part of my workflow,No major changes planned,None,"No, and I don't plan to",I don't use AI output in my work,"AI output quality isn't reliable enough, Budget or procurement friction, Security or compliance policy",Mostly the same,About the same,8.0
Agency or consulting,Designer (Individual contributor),Central America & Caribbean,"Claude Code, Claude, Figma, FigJam, Figma Make, Jitter",I use AI or no-code to generate code,"AI-generated coding, Simplifying my stack, Video, motion, & 3D",Occasionally,"Yes, once or twice",Working output I review before shipping,Time to learn new tools,Consolidated into fewer tools,"More valuable, my skills matter more than before",7.0
Mid-size in-house (101–999),Design manager or director,Eastern Europe,"Nanobanana, Figma, ChatGPT, Perplexity, Jira","Code isn't part of my workflow, I use AI or no-code to generate code","AI-generated coding, Agent workflows & automations, Image generation",None,"No, but I want to",First drafts I heavily edit,"Time to learn new tools, Too many tools, unclear which to commit","Added new tools, AI included","Less secure, AI is changing what's expected of me",5.0
"Student, educator, or between roles",Designer (Individual contributor),Western Europe,"Figma Make, Figma, Zoom, Slack, Jira, Nanobanana, ChatGPT, Gemini, LottieFiles, Google Slides, Framer, FigJam",Code isn't part of my workflow,"Image generation, Design systems & tokens, AI-generated coding",None,"No, but I want to",First drafts I heavily edit,"Budget or procurement friction, Engineering team constraints, AI output quality isn't reliable enough","Added new tools, AI included","Less secure, AI is changing what's expected of me",8.0
Mid-size in-house (101–999),Designer (Individual contributor),Eastern Europe,"Figma, ChatGPT, Gemini, Lovable, Perplexity, Asana, Google Slides, Google Meet, Microsoft Teams, Slack, Zoom, Hotjar",I review or inspect code but don't write it,AI-generated coding,Occasionally,"No, and I don't plan to",Exploration and brainstorming only,"Time to learn new tools, Too many tools, unclear which to commit","Added new tools, AI included","Less secure, AI is changing what's expected of me",8.0
Agency or consulting,Lead or principal,Northern Europe,"Claude Cowork, Lovable, Figma Make, Ideogram, Nanobanana, Recraft, Figma, Claude, Gemini, Notion, Trello, Keynote, Slack, Lookback, UserTesting, Webflow, FigJam, Miro","I use AI or no-code to generate code, I hand-code prototypes but not production","AI-generated coding, Agent workflows & automations, Design systems & tokens",Occasionally,"Yes, I build personal tools regularly",Exploration and brainstorming only,"Security or compliance policy, AI output quality isn't reliable enough, Too many tools, unclear which to commit","Still in flux, changing often",About the same,7.0
Startup in-house (2–100),Lead or principal,Western Europe,"Cursor, Gemini CLI, Figma, Claude, Gemini, Perplexity, Jitter, Notion, Microsoft Teams, Webflow, FigJam, Claude Cowork","I hand-code prototypes but not production, I use AI or no-code to generate code, I write production code","AI-generated coding, Agent workflows & automations, Design systems & tokens",Nearly all of it,"Yes, I build personal tools regularly",Full trust without oversight,"Time to learn new tools, Security or compliance policy, Engineering team constraints",Consolidated into fewer tools,About the same,7.0
Startup in-house (2–100),Lead or principal,North America,"Claude Cowork, Figma Make, Figma, Claude, Claude Code",I use AI or no-code to generate code,"Design systems & tokens, Agent workflows & automations, Image generation",Occasionally,"No, but I want to",Exploration and brainstorming only,"Time to learn new tools, Security or compliance policy, Too many tools, unclear which to commit","Added new tools, AI included","Less secure, AI is changing what's expected of me",5.0
Independent or freelance,Designer (Individual contributor),Western Europe,"ChatGPT, FLORA, Notion",Code isn't part of my workflow,"Canvas design tools, Image generation, Simplifying my stack",None,"No, but I want to",First drafts I heavily edit,"Budget or procurement friction, AI output quality isn't reliable enough, Too many tools, unclear which to commit",AI is now central — major shift,"More valuable, my skills matter more than before",6.0
"Enterprise in-house (1,000+)",Design manager or director,Northern Europe,"Gemini, Nanobanana, Microsoft Teams","I use AI or no-code to generate code, I hand-code prototypes but not production","AI-generated coding, Canvas design tools, Agent workflows & automations",Most of it,"Yes, I build personal tools regularly",Full trust without oversight,"Too many tools, unclear which to commit, AI output quality isn't reliable enough, Engineering team constraints",AI is now central — major shift,"More valuable, my skills matter more than before",8.0
Mid-size in-house (101–999),Lead or principal,Western Europe,"Claude Cowork, Claude, Claude Code, Figma Make, Figma, Storybook, ChatGPT, Jitter, Google Meet","I write production code, I use AI or no-code to generate code","AI-generated coding, Design systems & tokens",About half,"Yes, I build personal tools regularly",Working output I review before shipping,"Budget or procurement friction, Security or compliance policy, Engineering team constraints","Added new tools, AI included","More valuable, my skills matter more than before",8.0
Agency or consulting,Lead or principal,North America,"Figma Make, Figma, Claude, Gemini, Perplexity, Notion, Slack, Hotjar, FigJam",I use AI or no-code to generate code,"Agent workflows & automations, AI-generated coding, Design systems & tokens",None,"No, but I want to",First drafts I heavily edit,"Too many tools, unclear which to commit, AI output quality isn't reliable enough, Security or compliance policy","Added new tools, AI included","More valuable, my skills matter more than before",7.0
Mid-size in-house (101–999),Lead or principal,Western Europe,"Lovable, Figma Make, Adobe Firefly, Figma, ChatGPT, Claude, Slack, Microsoft Teams, Maze, FigJam, Miro",Code isn't part of my workflow,"Image generation, Canvas design tools, Agent workflows & automations",None,"No, but I want to",Working output I review before shipping,"Security or compliance policy, Budget or procurement friction, Time to learn new tools",AI is now central — major shift,"More valuable, my skills matter more than before",8.0
Agency or consulting,Researcher,East Asia,"Claude Cowork, Lovable, v0 (Vercel), Claude Code, Gemini CLI, Google Antigravity, Figma Make, Google Stitch, Adobe Firefly, Nanobanana, Runway, Recraft, Figma, Paper, ChatGPT, Claude, Gemini, After Effects, Airtable, Asana, Jira, Monday.com, Google Slides, PowerPoint, Microsoft Teams, FigJam, Miro","I use AI or no-code to generate code, I hand-code prototypes but not production, I write production code","AI-generated coding, Video, motion, & 3D, Agent workflows & automations",Most of it,"Yes, I build personal tools regularly",Working output I review before shipping,"Budget or procurement friction, Security or compliance policy, Too many tools, unclear which to commit","Still in flux, changing often","More valuable, my skills matter more than before",7.0
Independent or freelance,Lead or principal,North America,"Claude Code, OpenAI Codex, Figma Make, Figma, Pencil.dev",I review or inspect code but don't write it,"Design systems & tokens, Agent workflows & automations, Canvas design tools",Nearly all of it,"Yes, I build personal tools regularly",Ships with minor tweaks,"Time to learn new tools, Other: Tweaking design and interactions in code",AI is now central — major shift,"Less secure, AI is changing what's expected of me",8.0
"Enterprise in-house (1,000+)",Designer (Individual contributor),North America,"Figma, FigJam, Figma Make, Notion, Vibecode, Claude Code, ChatGPT, Azure Dev Ops, Aha!, Microsoft Teams, Webflow","I use AI or no-code to generate code, I review or inspect code but don't write it","AI-generated coding, Design systems & tokens, Canvas design tools",Occasionally,"Yes, once or twice",I don't use AI output in my work,"Security or compliance policy, Time to learn new tools, Other: Bloated team size and process",Mostly the same,Honestly not sure,4.0
Agency or consulting,"Non-designer who designs (e.g. PM, founder)",Western Europe,"Google Antigravity, Adobe Firefly, Midjourney, Canva, ChatGPT, Perplexity, Trello, PowerPoint, Microsoft Teams, Slack",I use AI or no-code to generate code,No major changes planned,Occasionally,"Yes, once or twice",First drafts I heavily edit,"AI output quality isn't reliable enough, Too many tools, unclear which to commit, Time to learn new tools",Mostly the same,"Less secure, AI is changing what's expected of me",3.0
Startup in-house (2–100),Lead or principal,West Africa,"Claude Code, Cursor, OpenAI Codex, Figma Make, Nanobanana, Canva, Figma, Paper, Pencil.dev, ChatGPT, Claude, Gemini, Rive, Google Meet, Microsoft Teams, Zoom, Framer","I write production code, I use AI or no-code to generate code, I hand-code prototypes but not production, I review or inspect code but don't write it","AI-generated coding, Simplifying my stack, Canvas design tools",About half,"Yes, once or twice",Ships with minor tweaks,"Time to learn new tools, Too many tools, unclear which to commit, Budget or procurement friction",AI is now central — major shift,About the same,9.0
Agency or consulting,Designer (Individual contributor),Australia & New Zealand,"Claude Code, Figma Make, Leonardo AI, Nanobanana, Figma, Claude, Jitter, Spline, Notion, Framer, FigJam, Miro","I hand-code prototypes but not production, I use AI or no-code to generate code","Image generation, Canvas design tools",Occasionally,"Yes, once or twice",Exploration and brainstorming only,"Time to learn new tools, Security or compliance policy, Engineering team constraints",AI is now central — major shift,About the same,6.0
"Enterprise in-house (1,000+)",Designer (Individual contributor),North America,Figma Make,I use AI or no-code to generate code,AI-generated coding,Nearly all of it,"Yes, I build personal tools regularly",Working output I review before shipping,"Budget or procurement friction, Engineering team constraints, Too many tools, unclear which to commit","Added new tools, AI included","More valuable, my skills matter more than before",8.0
Independent or freelance,Design manager or director,Eastern Europe,"Figma, Claude Code, Gemini, Notion","I write production code, I use AI or no-code to generate code",AI-generated coding,About half,"No, but I want to",Ships with minor tweaks,"Too many tools, unclear which to commit, Time to learn new tools","Added new tools, AI included",Honestly not sure,5.0
"Student, educator, or between roles",Designer (Individual contributor),Central Asia,"tldraw, Excalidraw, FigJam, Miro, Webflow, Wix, Framer, Gamma, Notion, Linear, Rive, LottieFiles, Jitter, After Effects, Spline, ChatGPT, Claude, Copilot (Microsoft), Gemini, Grok, Perplexity, Dessn, Paper, Figma, Canva, DALL-E, Adobe Firefly, FLORA, Midjourney, Nanobanana, MagicPath, Google Stitch, Figma Make, Zed, Windsurf, Google Antigravity, Cursor, Claude Code, v0 (Vercel), Lovable, Bolt.new, Base44, Anything, Perplexity Computer, n8n",I write production code,"Canvas design tools, Video, motion, & 3D, AI-generated coding",About half,"Yes, once or twice",First drafts I heavily edit,"Time to learn new tools, AI output quality isn't reliable enough, Budget or procurement friction","Added new tools, AI included","More valuable, my skills matter more than before",9.0
Startup in-house (2–100),Design engineer,North America,"v0 (Vercel), Figma Make, Figma, ChatGPT, Copilot (Microsoft), Jira, Google Slides, Keynote, PowerPoint, Microsoft Teams, Slack, Lyssna, Wix, FigJam, Miro, wordpress",Code isn't part of my workflow,No major changes planned,None,"No, and I don't plan to",First drafts I heavily edit,"Budget or procurement friction, Engineering team constraints, Security or compliance policy",AI is now central — major shift,"Less secure, AI is changing what's expected of me",7.0
Mid-size in-house (101–999),Designer (Individual contributor),North America,"Claude Code, Figma, ChatGPT, Claude, Gemini, Google Slides, Microsoft Teams, Webflow, Squarespace, FigJam",I use AI or no-code to generate code,"AI-generated coding, Design systems & tokens",Most of it,"No, but I want to",Working output I review before shipping,"Time to learn new tools, AI output quality isn't reliable enough, Budget or procurement friction",AI is now central — major shift,"More valuable, my skills matter more than before",8.0
Independent or freelance,Designer (Individual contributor),North America,"Squarespace, After Effects, ChatGPT, Figma",Code isn't part of my workflow,"Video, motion, & 3D, Image generation",None,"No, and I don't plan to",First drafts I heavily edit,"AI output quality isn't reliable enough, Too many tools, unclear which to commit, Time to learn new tools","Added new tools, AI included",Honestly not sure,6.0
"Enterprise in-house (1,000+)",Lead or principal,North America,"Claude Code, Figma Make, Figma, ChatGPT, Claude, Copilot (Microsoft), Jira, Microsoft Teams, UserTesting, FigJam, Miro",I use AI or no-code to generate code,"AI-generated coding, Simplifying my stack, Agent workflows & automations",Occasionally,"Yes, once or twice",Exploration and brainstorming only,"AI output quality isn't reliable enough, Engineering team constraints, Too many tools, unclear which to commit to","Still in flux, changing often","Less secure, AI is changing what's expected of me",8.0
Startup in-house (2–100),Design engineer,North America,"Claude Cowork, Perplexity, Gemini CLI, Gemini, Claude, Linear, Google Meet",I use AI or no-code to generate code,"AI-generated coding, Agent workflows & automations",Nearly all of it,"Yes, I build personal tools regularly",Ships with minor tweaks,Other: Building the right thing,AI is now central — major shift,"More valuable, my skills matter more than before",9.0
"Enterprise in-house (1,000+)",Designer (Individual contributor),North America,,I use AI or no-code to generate code,"AI-generated coding, Video, motion, & 3D, Image generation",Most of it,"Yes, once or twice",First drafts I heavily edit,"AI output quality isn't reliable enough, Too many tools, unclear which to commit",AI is now central — major shift,"Less secure, AI is changing what's expected of me",6.0
Agency or consulting,Designer (Individual contributor),North America,"Figma Make, Figma, Copilot (Microsoft), ChatGPT, Claude, Microsoft Teams, PowerPoint","I use AI or no-code to generate code, Code isn't part of my workflow","AI-generated coding, Agent workflows & automations, Design systems & tokens",None,"No, but I want to",First drafts I heavily edit,"Time to learn new tools, Too many tools, unclear which to commit, Security or compliance policy","Added new tools, AI included",Honestly not sure,6.0
Startup in-house (2–100),Lead or principal,North America,"Figma, Dovetail",I use AI or no-code to generate code,No major changes planned,Occasionally,"Yes, once or twice",Exploration and brainstorming only,Other:,Mostly the same,About the same,10.0
"Enterprise in-house (1,000+)",Designer (Individual contributor),Northern Europe,"Figma Make, Figma, Gemini, ChatGPT, Perplexity, Copilot (Microsoft)",Code isn't part of my workflow,"Design systems & tokens, Video, motion, & 3D, Image generation",None,"No, but I want to",Exploration and brainstorming only,"Too many tools, unclear which to commit, Security or compliance policy, AI output quality isn't reliable enough",Mostly the same,About the same,7.0
Independent or freelance,Designer (Individual contributor),North America,"Claude Code, Claude, Figma Make, Figma, v0 (Vercel), Loom, Google Meet",I use AI or no-code to generate code,"Agent workflows & automations, AI-generated coding, Image generation",About half,"Yes, I build personal tools regularly",First drafts I heavily edit,AI output quality isn't reliable enough,AI is now central — major shift,"More valuable, my skills matter more than before",8.0
Agency or consulting,Lead or principal,North America,"Framer, Figma, Paper, Spline, Rive, Claude Code, Claude Cowork, ChatGPT, FLORA","I hand-code prototypes but not production, I use AI or no-code to generate code","Simplifying my stack, Agent workflows & automations, AI-generated coding",Most of it,"Yes, I build personal tools regularly",First drafts I heavily edit,"AI output quality isn't reliable enough, Too many tools, unclear which to commit, Time to learn new tools",AI is now central — major shift,"More valuable, my skills matter more than before",9.0
Mid-size in-house (101–999),Designer (Individual contributor),South America,"Claude Code, Claude Cowork, Figma, Figma Make, v0 (Vercel)","I use AI or no-code to generate code, I hand-code prototypes but not production","Image generation, AI-generated coding, Agent workflows & automations",Nearly all of it,"Yes, once or twice",Ships with minor tweaks,"Time to learn new tools, Security or compliance policy, Too many tools, unclear which to commit",AI is now central — major shift,Honestly not sure,7.0
Independent or freelance,Designer (Individual contributor),Eastern Europe,"Claude, Gemini, Nanobanana, ai google studio, ChatGPT, elevenlabs, Figma, After Effects, adobe creative suite",I use AI or no-code to generate code,"AI-generated coding, Image generation, Design systems & tokens",Most of it,"Yes, I build personal tools regularly",Ships with minor tweaks,"Time to learn new tools, AI output quality isn't reliable enough, Too many tools, unclear which to commit","Added new tools, AI included","Less secure, AI is changing what's expected of me",6.0
Mid-size in-house (101–999),Designer (Individual contributor),Western Europe,"Figma Make, Adobe Firefly, Figma, ChatGPT, Copilot (Microsoft), After Effects, LottieFiles, Jira, Microsoft Teams, FigJam",I use AI or no-code to generate code,"Video, motion, & 3D, Image generation, Design systems & tokens",None,"No, but I want to",Exploration and brainstorming only,"Time to learn new tools, Too many tools, unclear which to commit, Budget or procurement friction","Still in flux, changing often","Less secure, AI is changing what's expected of me",5.0
Startup in-house (2–100),Design manager or director,South Asia,"Claude Code, Figma Make, Leonardo AI, Figma, ChatGPT, Claude, Spline, Jira, ProtoPie, Slack, Framer, FigJam, Miro",Code isn't part of my workflow,"Design systems & tokens, Agent workflows & automations, Canvas design tools",None,"Yes, once or twice",Exploration and brainstorming only,"AI output quality isn't reliable enough, Too many tools, unclear which to commit",Consolidated into fewer tools,"More valuable, my skills matter more than before",8.0
Agency or consulting,Design manager or director,North America,"Claude, ChatGPT, Figma, Canva, Gemini, Perplexity, ClickUp, Google Meet, Loom, Slack, Zoom, Microsoft Teams",I use AI or no-code to generate code,"Simplifying my stack, Agent workflows & automations, Manual coding",Occasionally,"Yes, once or twice",First drafts I heavily edit,"Time to learn new tools, AI output quality isn't reliable enough, Too many tools, unclear which to commit","Added new tools, AI included","More valuable, my skills matter more than before",6.0
Startup in-house (2–100),Designer (Individual contributor),West Africa,"Figma Make, Figma, Claude Code, Claude, Cursor, Rive",I use AI or no-code to generate code,"AI-generated coding, Design systems & tokens, Agent workflows & automations",Occasionally,"Yes, once or twice",First drafts I heavily edit,"Budget or procurement friction, AI output quality isn't reliable enough, Too many tools, unclear which to commit","Added new tools, AI included","More valuable, my skills matter more than before",7.0
Startup in-house (2–100),Designer (Individual contributor),Eastern Europe,"Claude Cowork, Claude Code, OpenAI Codex, Figma Make, Figma, Storybook, ChatGPT, Claude, ClickUp, Todoist, Obsidian, Notion, Slack, Google Meet, Maze, FigJam","I write production code, I use AI or no-code to generate code, I review or inspect code but don't write it, I hand-code prototypes but not production","Manual coding, Video, motion, & 3D, Agent workflows & automations",About half,"Yes, I build personal tools regularly",First drafts I heavily edit,AI output quality isn't reliable enough,"Still in flux, changing often","More valuable, my skills matter more than before",8.0
"Enterprise in-house (1,000+)",Designer (Individual contributor),Eastern Europe,"Figma, ChatGPT, Figma Make",I use AI or no-code to generate code,"AI-generated coding, Agent workflows & automations",Nearly all of it,"No, but I want to",Exploration and brainstorming only,"Budget or procurement friction, Security or compliance policy, AI output quality isn't reliable enough",Mostly the same,About the same,7.0
Startup in-house (2–100),Design manager or director,Northern Africa,"Figma, Notion, Google Meet, Perplexity, Claude Code, Claude, Gemini, Midjourney, Claude Cowork",Code isn't part of my workflow,"No-code tools (not AI), Image generation, Agent workflows & automations",None,"No, but I want to",Exploration and brainstorming only,"Budget or procurement friction, AI output quality isn't reliable enough, Too many tools, unclear which to commit to","Added new tools, AI included","Less secure, AI is changing what's expected of me",2.0
Agency or consulting,Design engineer,North America,"GitHub Copilot, Claude, Gemini, Affinity",I write production code,Manual coding,Occasionally,"Yes, I build personal tools regularly",First drafts I heavily edit,AI output quality isn't reliable enough,"Added new tools, AI included","More valuable, my skills matter more than before",4.0
Independent or freelance,Designer (Individual contributor),North America,"Bolt.new, Cursor, OpenAI Codex, Gemini CLI, Figma Make, Adobe Firefly, Midjourney, Nanobanana, Figma, Canva, ChatGPT, Obsidian, Slack, Loom, Zoom, Webflow, FigJam","I use AI or no-code to generate code, I review or inspect code but don't write it","Image generation, No-code tools (not AI), AI-generated coding",Most of it,"Yes, once or twice",First drafts I heavily edit,"Time to learn new tools, Other: , Budget or procurement friction","Added new tools, AI included","More valuable, my skills matter more than before",6.0
Mid-size in-house (101–999),Design manager or director,North America,"Figma, Claude Code, Claude, Gemini, Google Slides, Google Meet, Cursor, Cleanshot, Google Docs, Slack",I use AI or no-code to generate code,"AI-generated coding, Canvas design tools",Most of it,"Yes, I build personal tools regularly",First drafts I heavily edit,"Engineering team constraints, Time to learn new tools, Security or compliance policy",AI is now central — major shift,"Less secure, AI is changing what's expected of me",3.0
Startup in-house (2–100),Designer (Individual contributor),Eastern Europe,"Figma, Copilot (Microsoft), Jira, Mural, Slack",I review or inspect code but don't write it,Design systems & tokens,None,"No, but I want to",Exploration and brainstorming only,"Time to learn new tools, Engineering team constraints, AI output quality isn't reliable enough",Consolidated into fewer tools,About the same,6.0
Startup in-house (2–100),"Non-designer who designs (e.g. PM, founder)",North America,"Claude Code, Cursor, Figma, Claude, Claude Cowork","I write production code, I use AI or no-code to generate code","AI-generated coding, Agent workflows & automations, Video, motion, & 3D",Nearly all of it,"Yes, I build personal tools regularly",Working output I review before shipping,AI output quality isn't reliable enough,AI is now central — major shift,"More valuable, my skills matter more than before",9.0
Startup in-house (2–100),Design engineer,North America,"Magic Patterns, Claude Code, Cursor, Zed, Lovable, GitHub Copilot, Midjourney, Figma, ChatGPT, Claude, Gemini, Airtable, Linear, Notion, Google Meet, Slack, Framer",I use AI or no-code to generate code,"AI-generated coding, Agent workflows & automations, Design systems & tokens",Nearly all of it,"Yes, I build personal tools regularly",Working output I review before shipping,"Security or compliance policy, Too many tools, unclear which to commit","Added new tools, AI included","More valuable, my skills matter more than before",8.0
"Enterprise in-house (1,000+)",Designer (Individual contributor),Western Europe,"Lovable, v0 (Vercel), Figma Make, Banani, MagicPath, Figma, Storybook, Perplexity, Claude, Jitter, SVGator, Jira, Notion, PowerPoint, Microsoft Teams, Great Question, FigJam","Code isn't part of my workflow, I review or inspect code but don't write it","Agent workflows & automations, AI-generated coding, Simplifying my stack",None,"No, but I want to",Working output I review before shipping,"Budget or procurement friction, Security or compliance policy, Too many tools, unclear which to commit","Added new tools, AI included","More valuable, my skills matter more than before",7.0
Startup in-house (2–100),"Non-designer who designs (e.g. PM, founder)",North America,"Claude Cowork, Claude, Paper, Conductor, Notion",I use AI or no-code to generate code,Agent workflows & automations,Nearly all of it,"Yes, I build personal tools regularly",Working output I review before shipping,Other: Context management & agent management,AI is now central — major shift,"More valuable, my skills matter more than before",9.0
Mid-size in-house (101–999),Designer (Individual contributor),North America,"Perplexity Computer, v0 (Vercel), Claude Code, GitHub Copilot, Cursor, Figma Make, Midjourney, Nanobanana, Krea, Canva, Figma, Paper, ChatGPT, Claude, Perplexity, After Effects, Jitter, LottieFiles, Rive, Linear, Notion, Google Slides, Google Meet, Slack, Framer","I write production code, I use AI or no-code to generate code","AI-generated coding, Design systems & tokens, Canvas design tools",Occasionally,"Yes, I build personal tools regularly",Working output I review before shipping,"Time to learn new tools, AI output quality isn't reliable enough, Engineering team constraints",AI is now central — major shift,"More valuable, my skills matter more than before",7.0
Independent or freelance,Design engineer,South Asia,"Figma, Claude Code, Claude, ChatGPT, Zed","I write production code, I hand-code prototypes but not production, I review or inspect code but don't write it","AI-generated coding, Canvas design tools, Design systems & tokens",Occasionally,"Yes, I build personal tools regularly",Working output I review before shipping,"Budget or procurement friction, Too many tools, unclear which to commit, Time to learn new tools",AI is now central — major shift,Honestly not sure,6.0
Independent or freelance,Designer (Individual contributor),South Asia,"Canva, Adobe Firefly, ChatGPT, Claude, Blender, Photoshop, Copilot (Microsoft), Gemini, Discord, Google Meet, Google Tasks",Code isn't part of my workflow,"Canvas design tools, Video, motion, & 3D, No-code tools (not AI)",None,"No, and I don't plan to",Working output I review before shipping,"Budget or procurement friction, Time to learn new tools, Other: Bad performance","Added new tools, AI included",Honestly not sure,5.0
"Student, educator, or between roles",Researcher,Northern Africa,"Figma Make, Figma, OpenClaw, Gemini","I hand-code prototypes but not production, I use AI or no-code to generate code","Image generation, Design systems & tokens",About half,"No, but I want to",Working output I review before shipping,"Time to learn new tools, AI output quality isn't reliable enough","Still in flux, changing often","Less secure, AI is changing what's expected of me",6.0
"Enterprise in-house (1,000+)",Designer (Individual contributor),North America,"Figma Make, ChatGPT, Claude, Gemini",Code isn't part of my workflow,AI-generated coding,None,"No, but I want to",First drafts I heavily edit,Time to learn new tools,AI is now central — major shift,"Less secure, AI is changing what's expected of me",5.0
Independent or freelance,Lead or principal,North America,"Claude Cowork, Replit, Canva, ChatGPT, Claude, Grok, Gemini, posthog, Discord, screenshot extension, Leonardo AI","I use AI or no-code to generate code, I review or inspect code but don't write it","AI-generated coding, Canvas design tools, Video, motion, & 3D",Nearly all of it,"Yes, I build personal tools regularly",Ships with minor tweaks,"Time to learn new tools, Budget or procurement friction",AI is now central — major shift,"More valuable, my skills matter more than before",9.0
Startup in-house (2–100),Designer (Individual contributor),South America,"Figma, FigJam, Claude Cowork, Claude Code, ChatGPT, Notion, Webflow, After Effects, GitHub Copilot, Cursor, Canva, Gamma, Google Slides, Slack, Miro","I write production code, I hand-code prototypes but not production, I use AI or no-code to generate code","AI-generated coding, Design systems & tokens, Video, motion, & 3D",About half,"Yes, I build personal tools regularly",Working output I review before shipping,"AI output quality isn't reliable enough, Security or compliance policy","Added new tools, AI included",About the same,8.0
Agency or consulting,Design manager or director,Southern Europe,"Claude, ChatGPT, Midjourney, Gemini, Nanobanana, Google Stitch, Magic Patterns, MagicPath, Pencil.dev, Perplexity","I use AI or no-code to generate code, I hand-code prototypes but not production","Agent workflows & automations, Simplifying my stack, Image generation",Occasionally,"Yes, once or twice",First drafts I heavily edit,"Budget or procurement friction, AI output quality isn't reliable enough, Too many tools, unclear which to commit","Added new tools, AI included",Honestly not sure,4.0
Startup in-house (2–100),Designer (Individual contributor),Northern Europe,"Figma, Jitter, ChatGPT, Notion, Framer",Code isn't part of my workflow,"Video, motion, & 3D",None,"Yes, once or twice",First drafts I heavily edit,"Time to learn new tools, AI output quality isn't reliable enough","Added new tools, AI included",Honestly not sure,5.0
